"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010273","GO:0010273","detoxification of copper ion","6/383","16/18888",0.375,18.4934725848564,10.0707864883686,4.50812632234712e-07,0.000778778822185465,0.000744789922413032,"MT1F/MT1G/MT1H/MT1M/MT1X/MT2A",6
"GO:1990169","GO:1990169","stress response to copper ion","6/383","16/18888",0.375,18.4934725848564,10.0707864883686,4.50812632234712e-07,0.000778778822185465,0.000744789922413032,"MT1F/MT1G/MT1H/MT1M/MT1X/MT2A",6
"GO:0015711","GO:0015711","organic anion transport","26/383","451/18888",0.057649667405765,2.84304678318561,5.6992254199337,1.93873809097246e-06,0.00223278003476995,0.00213533293598686,"ABAT/ABCC2/ABCC6/AGXT/ATP1A2/CACNB4/CES1/CYB5R2/ERFE/FABP5/LRRC8E/MTTP/PLA2G12B/PLA2R1/RBP2/SLC13A3/SLC17A9/SLC1A7/SLC22A2/SLC22A3/SLC23A1/SLC25A47/SLC26A1/SLC39A5/SLC6A4/SLCO4C1",26
"GO:0097501","GO:0097501","stress response to metal ion","6/383","21/18888",0.285714285714286,14.0902648265573,8.63461519510076,2.80315305673548e-06,0.00242122345275527,0.00231555195923492,"MT1F/MT1G/MT1H/MT1M/MT1X/MT2A",6
"GO:0061687","GO:0061687","detoxification of inorganic compound","6/383","22/18888",0.272727272727273,13.4497982435319,8.40562616793904,3.78869509489239e-06,0.00261798831057064,0.00250372924270889,"MT1F/MT1G/MT1H/MT1M/MT1X/MT2A",6
"GO:0061844","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","10/383","82/18888",0.121951219512195,6.01413742596956,6.54623023324122,6.10279217931452e-06,0.0032594568525831,0.00311720163310484,"CXCL1/CXCL10/CXCL11/CXCL14/CXCL9/GNLY/IL17F/NOD2/RNASE7/RPL39",10
"GO:0071294","GO:0071294","cellular response to zinc ion","6/383","24/18888",0.25,12.3289817232376,7.98943256757762,6.60381996181815e-06,0.0032594568525831,0.00311720163310484,"MT1F/MT1G/MT1H/MT1M/MT1X/MT2A",6
"GO:0071280","GO:0071280","cellular response to copper ion","6/383","26/18888",0.230769230769231,11.3805985137578,7.61993962811295,1.09149848342737e-05,0.00471390907530195,0.00450817597299804,"MT1F/MT1G/MT1H/MT1M/MT1X/MT2A",6
"GO:0046942","GO:0046942","carboxylic acid transport","20/383","358/18888",0.0558659217877095,2.75507971468997,4.82321901192357,4.66148814731249e-05,0.0167439918580017,0.0160132197249653,"ABAT/ABCC2/ABCC6/AGXT/ATP1A2/CACNB4/CES1/ERFE/FABP5/LRRC8E/PLA2G12B/PLA2R1/RBP2/SLC13A3/SLC1A7/SLC22A2/SLC22A3/SLC23A1/SLC26A1/SLC6A4",20
"GO:0015849","GO:0015849","organic acid transport","20/383","359/18888",0.0557103064066852,2.74740539793595,4.80896082285721,4.84630733950846e-05,0.0167439918580017,0.0160132197249653,"ABAT/ABCC2/ABCC6/AGXT/ATP1A2/CACNB4/CES1/ERFE/FABP5/LRRC8E/PLA2G12B/PLA2R1/RBP2/SLC13A3/SLC1A7/SLC22A2/SLC22A3/SLC23A1/SLC26A1/SLC6A4",20
